caseid,totalnewsbinary_post_All_ref,totalnewscount_post_All_ref,log_news_post_All_ref,Average_domain_NewsG_Score_post_All_ref,Count_Reliable_NewsG_Score_post_All_ref,Count_Unreliable_NewsG_Score_post_All_ref,Prop_Reliable_NewsG_Score_post_All_ref,Prop_Unreliable_NewsG_Score_post_All_ref
1151616065,1,11,2.3978952727983707,90.83333333333333,0.8450980400142568,0,0.5454545454545454,0
1151616091,1,32,3.4657359027997265,89.01785714285714,1.462397997898956,0,0.875,0
1151616099,1,83,4.418840607796598,89.15972222222223,1.863322860120456,0,0.8674698795180723,0
1151616105,1,1,0,87.5,0.3010299956639812,0,1,0
1151616107,1,2,0.6931471805599453,100,0.3010299956639812,0,0.5,0
1151616109,1,1,0,87.5,0.3010299956639812,0,1,0
1151616111,1,52,3.9512437185814275,56.47826086956522,1.1760912590556813,1,0.2692307692307692,0.17307692307692307
1151616125,1,23,3.1354942159291497,87.95454545454545,1.3617278360175928,0,0.9565217391304348,0
1151616131,1,29,3.367295829986474,88.375,1.3222192947339193,0,0.6896551724137931,0
1151616145,1,30,3.4011973816621555,56.07142857142857,0.6989700043360189,0.6020599913279624,0.13333333333333333,0.1
1151616165,1,31,3.4339872044851463,67.91666666666667,0.9542425094393249,0.6989700043360189,0.25806451612903225,0.12903225806451613
1151616169,1,3,1.0986122886681098,90,0.3010299956639812,0,0.3333333333333333,0
1151616171,1,170,5.135798437050262,76.8076923076923,1.0791812460476249,0.47712125471966244,0.06470588235294118,0.011764705882352941
1151616177,1,8,2.0794415416798357,92.14285714285714,0.9030899869919435,0,0.875,0
1151616189,1,18,2.8903717578961645,84.625,1.1760912590556813,0.47712125471966244,0.7777777777777778,0.1111111111111111
1151616197,1,135,4.90527477843843,91.72268907563026,2.0718820073061255,0.47712125471966244,0.8666666666666667,0.014814814814814815
1151616207,1,21,3.044522437723423,77.76470588235294,1.2304489213782739,0.3010299956639812,0.7619047619047619,0.047619047619047616
1151616219,1,46,3.828641396489095,90.44444444444444,1.662757831681574,0,0.9782608695652174,0
1151616221,1,26,3.258096538021482,91.5625,1.3979400086720377,0,0.9230769230769231,0
1151616227,1,5,1.6094379124341003,83.625,0.6020599913279624,0.3010299956639812,0.6,0.2
1151616229,1,3,1.0986122886681098,90,0.3010299956639812,0,0.3333333333333333,0
1151616245,1,49,3.8918202981106265,87.65714285714286,1.5185139398778875,0.6020599913279624,0.6530612244897959,0.061224489795918366
1151616249,1,139,4.9344739331306915,95.8739837398374,2.093421685162235,0,0.8848920863309353,0
1151616253,1,11,2.3978952727983707,86.875,0.6989700043360189,0,0.36363636363636365,0
1151616255,1,18,2.8903717578961645,91.05555555555556,1,0,0.5,0
1151616261,1,76,4.330733340286331,91.07575757575758,1.8260748027008264,0,0.868421052631579,0
1151616267,1,31,3.4339872044851463,88.69047619047619,1.3424226808222062,0,0.6774193548387096,0
1151616285,1,28,3.332204510175204,79.6875,0.9542425094393249,0,0.2857142857142857,0
1151616287,1,2,0.6931471805599453,87.5,0.47712125471966244,0,1,0
1151616291,1,4,1.3862943611198906,92.5,0.6020599913279624,0,0.75,0
1151616293,1,2,0.6931471805599453,87.5,0.47712125471966244,0,1,0
1151616295,1,14,2.6390573296152584,85.4090909090909,1.0413926851582251,0.3010299956639812,0.7142857142857143,0.07142857142857142
1151616307,1,40,3.6888794541139363,89.16666666666667,1.4913616938342726,0.6020599913279624,0.75,0.075
1151616313,1,7,1.9459101490553132,90,0.6020599913279624,0,0.42857142857142855,0
1151616321,1,24,3.1780538303479458,89.77272727272727,1.0791812460476249,0,0.4583333333333333,0
1151616333,1,78,4.356708826689592,99.26666666666667,1.8808135922807914,0,0.9615384615384616,0
1151616335,1,2,0.6931471805599453,91.25,0.47712125471966244,0,1,0
1151616349,1,78,4.356708826689592,90.03424657534246,1.8692317197309762,0,0.9358974358974359,0
1151616351,1,8,2.0794415416798357,90,0.7781512503836436,0,0.625,0
1151616361,1,12,2.4849066497880004,93.63636363636364,1.0791812460476249,0,0.9166666666666666,0
1151616367,1,1,0,90,0.3010299956639812,0,1,0
1151616373,1,10,2.302585092994046,89.375,0.9542425094393249,0,0.8,0
1151616387,1,5,1.6094379124341003,NaN,0,0,0,0
1151616391,1,3,1.0986122886681098,93.75,0.47712125471966244,0,0.6666666666666666,0
1151616409,1,114,4.736198448394496,91.73595505617978,1.954242509439325,0,0.7807017543859649,0
1151616421,1,46,3.828641396489095,92.8157894736842,1.591064607026499,0,0.8260869565217391,0
1151616425,1,21,3.044522437723423,88.67647058823529,1.255272505103306,0,0.8095238095238095,0
1151616431,1,9,2.1972245773362196,89.44444444444444,1,0,1,0
1151616433,1,246,5.5053315359323625,87.5641592920354,2.3541084391474008,0.3010299956639812,0.9146341463414634,0.0040650406504065045
1151616435,1,3,1.0986122886681098,87.5,0.3010299956639812,0,0.3333333333333333,0
1151616459,1,112,4.718498871295094,85.59134615384616,1.9493900066449128,1.2304489213782739,0.7857142857142857,0.14285714285714285
1151616461,1,3,1.0986122886681098,100,0.6020599913279624,0,1,0
1151616463,1,3,1.0986122886681098,92.5,0.3010299956639812,0,0.3333333333333333,0
1151616475,1,4,1.3862943611198906,83,0.6020599913279624,0,0.75,0
1151616481,1,5,1.6094379124341003,82.5,0.47712125471966244,0,0.4,0
1151616497,1,6,1.791759469228055,77.5,0.3010299956639812,0,0.16666666666666666,0
1151616501,1,20,2.995732273553991,89.725,1.3222192947339193,0,1,0
1151616523,1,3,1.0986122886681098,91.25,0.47712125471966244,0,0.6666666666666666,0
1151616525,1,1,0,70,0.3010299956639812,0,1,0
1151616529,1,2,0.6931471805599453,100,0.47712125471966244,0,1,0
1151616561,1,8,2.0794415416798357,90,0.6989700043360189,0,0.5,0
1151616563,1,7,1.9459101490553132,89.16666666666667,0.8450980400142568,0,0.8571428571428571,0
1151616613,1,5,1.6094379124341003,89,0.7781512503836436,0,1,0
1151616623,1,266,5.583496308781699,85.80882352941177,1.5440680443502757,0,0.12781954887218044,0
1151616627,1,1,0,100,0.3010299956639812,0,1,0
1151616645,1,1,0,NaN,0,0,0,0
1151616657,1,2,0.6931471805599453,91.25,0.47712125471966244,0,1,0
1151616667,1,2,0.6931471805599453,90,0.47712125471966244,0,1,0
1151616701,1,65,4.174387269895637,85.72321428571429,1.724275869600789,0.6989700043360189,0.8,0.06153846153846154
1151616717,1,86,4.454347296253507,88,1.591064607026499,0.47712125471966244,0.4418604651162791,0.023255813953488372
1151616737,1,1,0,67.5,0.3010299956639812,0,1,0
1151616757,1,44,3.784189633918261,89.77272727272727,1.6532125137753437,0,1,0
1151616761,1,13,2.5649493574615367,88.54166666666667,1.1139433523068367,0,0.9230769230769231,0
1151616763,1,8,2.0794415416798357,92.14285714285714,0.9030899869919435,0,0.875,0
1151616787,1,27,3.295836866004329,89.0909090909091,1.0791812460476249,0,0.4074074074074074,0
1151616799,1,5,1.6094379124341003,82.5,0.3010299956639812,0,0.2,0
1151616809,1,2,0.6931471805599453,75,0.3010299956639812,0,0.5,0
1151616811,1,32,3.4657359027997265,87.5,1.5185139398778875,0,1,0
1151616821,1,1,0,90,0.3010299956639812,0,1,0
1151616825,1,1,0,82.5,0.3010299956639812,0,1,0
