caseid,totalnewsbinary_All_ref,totalnewscount_All_ref,log_news_All_ref,Average_domain_NewsG_Score_All_ref,Count_Reliable_NewsG_Score_All_ref,Count_Unreliable_NewsG_Score_All_ref,Prop_Reliable_NewsG_Score_All_ref,Prop_Unreliable_NewsG_Score_All_ref
1150928595,1,1,0,100,0.3010299956639812,0,1,0
1150928599,1,26,3.258096538021482,92.21153846153847,1.4313637641589874,0,1,0
1150928603,1,36,3.58351893845611,88.75,1.5440680443502757,0,0.9444444444444444,0
1150928609,1,19,2.9444389791664403,92.5,1.255272505103306,0,0.8947368421052632,0
1150928621,1,26,3.258096538021482,87.575,1.3010299956639813,0.3010299956639812,0.7307692307692307,0.038461538461538464
1150928635,1,14,2.6390573296152584,75.28571428571429,0.8450980400142568,0.3010299956639812,0.42857142857142855,0.07142857142857142
1150928651,1,42,3.7376696182833684,93.52941176470588,1.255272505103306,0,0.40476190476190477,0
1150928655,1,4,1.3862943611198906,90.625,0.6989700043360189,0,1,0
1150928659,1,11,2.3978952727983707,89.5,0.7781512503836436,0,0.45454545454545453,0
1150928665,1,7,1.9459101490553132,NaN,0,0,0,0
1150928669,1,9,2.1972245773362196,77.72222222222223,1,0,1,0
1150928675,1,13,2.5649493574615367,79,0.6989700043360189,0.3010299956639812,0.3076923076923077,0.07692307692307693
1150928679,1,91,4.51085950651685,89.13461538461539,1.8920946026904804,0.3010299956639812,0.8461538461538461,0.01098901098901099
1150928685,1,22,3.091042453358316,89.375,1.2304489213782739,0,0.7272727272727273,0
1150928695,1,3,1.0986122886681098,90,0.6020599913279624,0,1,0
1150928719,1,65,4.174387269895637,70.9,1.6020599913279623,1.0791812460476249,0.6,0.16923076923076924
1150928727,1,18,2.8903717578961645,78,0.8450980400142568,0.47712125471966244,0.3333333333333333,0.1111111111111111
1150928731,1,30,3.4011973816621555,84.3,1.4313637641589874,0.6989700043360189,0.8666666666666667,0.13333333333333333
1150928737,1,55,4.007333185232471,87.90816326530613,1.6989700043360187,0,0.8909090909090909,0
1150928743,1,18,2.8903717578961645,92,1.2041199826559248,0,0.8333333333333334,0
1150928753,1,2,0.6931471805599453,87.5,0.3010299956639812,0,0.5,0
1150928757,1,84,4.430816798843313,73.21311475409836,1.7634279935629373,0.6989700043360189,0.6785714285714286,0.047619047619047616
1150928761,1,1,0,100,0.3010299956639812,0,1,0
1150928765,1,30,3.4011973816621555,57.13793103448276,1.255272505103306,1.1139433523068367,0.5666666666666667,0.4
1150928769,1,2,0.6931471805599453,100,0.47712125471966244,0,1,0
1150928771,1,34,3.5263605246161616,89.296875,1.5185139398778875,0,0.9411764705882353,0
1150928773,1,1,0,87.5,0.3010299956639812,0,1,0
1150928781,1,20,2.995732273553991,90,0.9030899869919435,0,0.35,0
1150928785,1,5,1.6094379124341003,90,0.6989700043360189,0,0.8,0
1150928789,1,118,4.770684624465665,90.79292929292929,1.9912260756924949,0.47712125471966244,0.8220338983050848,0.01694915254237288
