user_id,compliance_check,timestamp
v1050FQqC2rJ36,0,1591383697812
v1050FQqC2rJ36,0,1593125350927
v10dB2TqcNgGq6,0,1591379723946
v10dB2TqcNgGq6,0,1593311594427
v11Sn1DqKTt0N6,1,1591383575951
v12lGShqy1n2v6,0,1591402765911
v12lGShqy1n2v6,0,1591407768357
v12lGShqy1n2v6,0,1593178144682
v149V2VqWtpNX6,0,1591381798255
v149V2VqWtpNX6,0,1593128649922
v15M0lyqgKyDZ6,0,1591347056889
v15M0lyqgKyDZ6,0,1591568219374
v15M0lyqgKyDZ6,0,1591749998919
v15M0lyqgKyDZ6,0,1591853079592
v15M0lyqgKyDZ6,0,1592543725582
v15M0lyqgKyDZ6,0,1593150482968
v15M0lyqgKyDZ6,0,1595836580409
v16nFlDqTyVPS6,0,1591333020252
v16nFlDqTyVPS6,0,1593132366262
v17nYfMqy2vDJ6,1,1591372708016
v17nYfMqy2vDJ6,1,1593217385670
v17qk9HqLp8SQ6,0,1591324978374
v17qk9HqLp8SQ6,0,1593126951793
v17qk9HqLp8SQ6,0,1593127015632
v17qk9HqLp8SQ6,0,1593127040933
v18JC3NqlGTx36,0,1591570066072
v18JC3NqlGTx36,0,1593136277094
v19Zsl6qjqgmq6,1,1591206588962
v19Zsl6qjqgmq6,1,1593183617380
v1BXyhXqq6shs6,1,1591368164910
v1BXyhXqq6shs6,0,1593122250568
v1BZhXnq9KDxV6,0,1591342529577
v1BZhXnq9KDxV6,0,1593306756368
v1CKVmsq5lKWY6,1,1591371258918
v1CKVmsq5lKWY6,1,1593122987217
v1D6Bb7qw3Jy66,0,1591374680205
v1D6Bb7qw3Jy66,0,1593142946318
v1Fn10xq09rQs6,0,1591394538032
v1Fn10xq09rQs6,0,1593126263512
v1GjpNyqHk7Y56,1,1591638163648
v1GjpNyqHk7Y56,1,1593128231910
v1Gnd3SqqjfG96,1,1592345459840
v1GrHdHqNP47B6,0,1591375147103
v1GrHdHqNP47B6,0,1593103602393
v1Gzj4Kqsnbjq6,0,1590720862793
v1Gzj4Kqsnbjq6,0,1593219217717
v1H6KSrqP1XFK6,1,1591321404967
v1H6KSrqP1XFK6,1,1593215430682
v1JqYNnqXNWGL6,1,1591364450699
v1JqYNnqXNWGL6,1,1593216450828
v1LPMZ8qkhqNS6,0,1591362509146
v1LPMZ8qkhqNS6,0,1593188664740
v1LlZk8q3Dggf6,1,1591328208517
v1Lp9RvqGGgCk6,0,1591363033563
v1Lzz7lq02Pb56,0,1591367116076
v1Lzz7lq02Pb56,0,1593134588198
v1Lzz7lq02Pb56,0,1593134620744
v1Mxrw8q8zsfW6,0,1591975556769
v1Nf02gqtHSbr6,0,1591363490060
v1NgGbhqMwNnN6,0,1591445786577
v1NgGbhqMwNnN6,0,1593284002275
v1PHF4tqTfx8p6,0,1591322290394
v1PHF4tqTfx8p6,1,1591322342016
v1PHF4tqTfx8p6,0,1593274834347
v1QVzlQqMhVZQ6,1,1590726872917
v1QVzlQqMhVZQ6,0,1593209494405
v1RfZG2q2mnBR6,0,1591363711275
v1RfZG2q2mnBR6,0,1593122995309
v1RnQQPqKfGrD6,0,1591592588315
v1RnQQPqKfGrD6,0,1591592850322
v1SHnHPqxdFGV6,0,1591377721036
v1SHnHPqxdFGV6,0,1593128351393
v1Sc4TyqJhS7m6,1,1591392927989
v1Sc4TyqJhS7m6,1,1593121566103
v1SfcQFqYhM746,0,1591754128569
v1SfcQFqYhM746,1,1591755617044
v1TVslTqQHmNc6,1,1591362597794
v1TVslTqQHmNc6,1,1593173750305
v1Y7jDwqqQSRD6,0,1591364060271
v1Yhr6jq3DDn06,1,1591145307554
v1Yhr6jq3DDn06,1,1593133331642
v1YjjfcqBZnNz6,1,1591400088170
v1ZSpSmq1DgZM6,0,1590719105445
v1ZSpSmq1DgZM6,0,1593128246687
v1Zb7qzqjHlHP6,0,1591322258821
v1Zb7qzqjHlHP6,0,1593129881523
v1bZP5CqR9K196,1,1591283907537
v1bZP5CqR9K196,1,1593129624939
v1blVNsq1b5Lg6,0,1591562192819
v1blVNsq1b5Lg6,0,1591562458737
v1blVNsq1b5Lg6,1,1591587970428
v1blVNsq1b5Lg6,1,1593190149928
v1byf5nqfXlBx6,0,1591388270484
v1byf5nqfXlBx6,0,1593120633962
v1ccDsfqwzg3Z6,1,1591305399585
v1ccDsfqwzg3Z6,1,1593121101179
v1ct8V8qKMQMY6,1,1593125253307
v1dP8W5qLQRsR6,0,1591752729352
v1df5BDqYvrkc6,1,1591362940259
v1df5BDqYvrkc6,1,1593122012900
v1fSr97qvVg0b6,1,1591323919460
v1fSr97qvVg0b6,1,1593394230838
v1gFq6yqFnyTF6,0,1591405352175
v1gFq6yqFnyTF6,0,1593140987509
v1ghTmtqwB6TM6,1,1592323631385
v1j7F7jqpxVFT6,0,1591656055259
v1j7F7jqpxVFT6,0,1593126517133
v1jCJwyqkP4V46,0,1591399713822
v1jCJwyqkP4V46,0,1593179495164
v1jhTldqqR4ZM6,0,1591232071942
v1jhTldqqR4ZM6,0,1593131604151
v1kb7qbqfGzd26,0,1591325151508
v1kb7qbqfGzd26,1,1591325204056
v1kb7qbqfGzd26,1,1593124335682
v1kzjWsqNh48Y6,1,1591394119601
v1kzjWsqNh48Y6,1,1593122169417
v1lMwMtq5dnjf6,1,1591289696945
v1lMwMtq5dnjf6,1,1593211617396
v1lNQ6sq1z4yT6,1,1591323664579
v1lNQ6sq1z4yT6,1,1593123700923
v1lsZW0q7Rr4q6,1,1591390254219
v1lsZW0q7Rr4q6,1,1593144822942
v1m95yPq3c9Lm6,1,1591120833383
v1n4PVtqPdKgr6,0,1591356428927
v1nLMhgqYGKZy6,1,1591331358051
v1nLMhgqYGKZy6,1,1593129991121
v1pBMgfqKyCzG6,1,1591361239451
v1pBMgfqKyCzG6,1,1593187331313
