caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score_post,Count_Reliable_NewsG_Score_post,Count_Unreliable_NewsG_Score_post,Prop_Reliable_NewsG_Score_post,Prop_Unreliable_NewsG_Score_post,partisanship_news_diet_post,Prop_Reliable_NewsG_Score_post_dur,Prop_Unreliable_NewsG_Score_post_dur,Count_Unreliable_NewsG_Score_post_dur,Count_Reliable_NewsG_Score_post_dur,Average_domain_NewsG_Score_post_dur
1150928933,1,21,1602,3.044522437723423,504,6.222576268071369,1576,87.91176470588235,1.255272505103306,0,0.8095238095238095,0,NaN,0.9837702871410736,0,0,1576,81.77791878172589
1150928937,1,149,1160,5.003946305945459,1795,7.492760300922379,912,91.73507462686567,2.130333768495006,0,0.8993288590604027,0,0.07764524585243975,0.7862068965517242,0,0,912,92.31359649122807
1150928949,1,328,4253,5.793013608384144,5933,8.688285266258644,1388,81.43303571428571,1.99563519459755,1.1760912590556813,0.29878048780487804,0.042682926829268296,1.2065856662897747,0.23089583823183635,0.09546202680460851,406,982,77.16282420749279
1150928951,1,309,13021,5.733341276897746,2202,7.697121317282625,9109,89.578125,2.2810333672477277,0.47712125471966244,0.6148867313915858,0.006472491909385114,-0.19141633923130685,0.695568696720682,0.003993548882574303,52,9057,89.35711933252827
1150928955,1,79,630,4.3694478524670215,2010,7.605890001053122,592,90.03378378378379,1.8750612633917,0,0.9367088607594937,0,NaN,0.9396825396825397,0,0,592,90.00844594594595
1150928961,1,156,1643,5.049856007249537,2066,7.633369649679584,1515,80.78832116788321,2.1398790864012365,0,0.8782051282051282,0,1.364650271011808,0.9220937309799148,0,0,1515,75.15907590759076
1150928967,1,76,1593,4.330733340286331,3365,8.121183242078828,1583,85.27777777777777,1.8325089127062364,0.7781512503836436,0.881578947368421,0.06578947368421052,1.6629553673131259,0.9836785938480854,0.010043942247332079,16,1567,89.38723941882502
1150928981,1,38,1113,3.6375861597263857,784,6.664409020350408,1086,82.71621621621621,1.5440680443502757,0.6020599913279624,0.8947368421052632,0.07894736842105263,2.2251307300538,0.8823000898472596,0.09344115004492363,104,982,78.78913443830571
1150928985,1,7,173,1.9459101490553132,537,6.285998094508865,173,86.71428571428571,0.8450980400142568,0.3010299956639812,0.8571428571428571,0.14285714285714285,-0.6182276816491337,0.9826589595375722,0.017341040462427744,3,170,89.83236994219654
1150928999,1,9,668,2.1972245773362196,634,6.452048954437226,668,89.44444444444444,1,0,1,0,NaN,1,0,0,668,92.3502994011976
1150929003,1,121,4463,4.795790545596741,1810,7.501082124259871,4452,89.8109243697479,2.0791812460476247,0,0.9834710743801653,0,-0.33983517445199435,0.9975352901635671,0,0,4452,89.90566037735849
1150929007,1,297,2526,5.6937321388027,4564,8.425954710981966,2017,78.22907488986785,2.311753861055754,1.380211241711606,0.6868686868686869,0.07744107744107744,1.949930557459927,0.7707838479809976,0.027711797307996833,70,1947,82.936787307883
1150929013,1,2070,67327,7.635303886259415,7979,8.984568369308281,65756,87.94017311608961,3.2931414834509307,0.3010299956639812,0.9483091787439614,4.830917874396135e-4,-0.058714821607444845,0.9766512691787842,1.4852882201791258e-5,1,65755,87.88071810937404
1150929017,1,50,290,3.912023005428146,4064,8.309922989258318,204,90.64516129032258,1.505149978319906,0,0.62,0,NaN,0.7034482758620689,0,0,204,88.97058823529412
1150929025,1,22,192,3.091042453358316,214,5.365976015021851,148,89.58333333333333,1.1139433523068367,0,0.5454545454545454,0,-0.7758703544004033,0.7708333333333334,0,0,148,90.20270270270271
1150929029,1,4,88,1.3862943611198906,218,5.384495062789089,0,NaN,0,0,0,0,NaN,0,0,0,0,NaN
1150929043,1,181,8826,5.198497031265826,850,6.745236349484363,8826,78.29005524861878,2.2600713879850747,0,1,0,1.4776362195015946,1,0,0,8826,76.67142533423974
1150929045,1,197,1339,5.2832037287379885,996,6.903747257584598,1333,89.80670103092784,2.290034611362518,0,0.9847715736040609,0,NaN,0.9955190440627334,0,0,1333,89.69429857464367
1150929061,1,38,11163,3.6375861597263857,1307,7.175489713624222,563,69.6,0.8450980400142568,0.6989700043360189,0.15789473684210525,0.10526315789473684,1.5280722906213455,0.04703036818059662,0.0034041028397384216,38,525,82.84813499111901
1150929063,1,1372,24591,7.22402480828583,6981,8.850947451970402,21612,77.25461847389558,3.0941215958405612,0.6989700043360189,0.9045189504373178,0.0029154518950437317,1.440455583128655,0.8717823593997804,0.007075759424179578,174,21438,75.11401073477698
1150929067,1,639,18053,6.459904454377535,2420,7.791522819150732,17799,87.27272727272727,2.797959643737196,0,0.9812206572769953,0,NaN,0.9859303162909212,0,0,17799,87.19745491319738
1150929069,1,186,1971,5.225746673713202,4351,8.37816098272068,1161,91.02348993288591,2.1760912590556813,0,0.8010752688172043,0,-0.5206159516445397,0.589041095890411,0,0,1161,92.37941429801894
