caseid,totalnewsbinary_post_SM_ref,totalnewscount_post_SM_ref,log_news_post_SM_ref,Average_domain_NewsG_Score_post_SM_ref,Count_Reliable_NewsG_Score_post_SM_ref,Count_Unreliable_NewsG_Score_post_SM_ref,Prop_Reliable_NewsG_Score_post_SM_ref,Prop_Unreliable_NewsG_Score_post_SM_ref
1149913455,1,110,4.700480365792417,64.70192307692308,1.8864907251724818,1.462397997898956,0.6909090909090909,0.2545454545454545
1149913475,1,11,2.3978952727983707,74.31818181818181,0.9542425094393249,0.6020599913279624,0.7272727272727273,0.2727272727272727
1149913477,1,18,2.8903717578961645,91,1.2304489213782739,0.3010299956639812,0.8888888888888888,0.05555555555555555
1149913483,1,8,2.0794415416798357,92.5,0.9542425094393249,0,1,0
1149913519,1,103,4.634728988229636,83.45,1.4771212547196624,0.3010299956639812,0.2815533980582524,0.009708737864077669
1149913569,1,13,2.5649493574615367,100,0.3010299956639812,0,0.07692307692307693,0
1149913575,1,2,0.6931471805599453,NaN,0,0,0,0
1149913583,1,7,1.9459101490553132,100,0.3010299956639812,0,0.14285714285714285,0
1149913591,1,14,2.6390573296152584,84.4,0.9542425094393249,0.47712125471966244,0.5714285714285714,0.14285714285714285
1149913703,1,67,4.204692619390966,88.29545454545455,1.8260748027008264,0,0.9850746268656716,0
1149913749,1,59,4.07753744390572,NaN,0,0,0,0
1149913763,1,14,2.6390573296152584,88.46153846153847,1.146128035678238,0,0.9285714285714286,0
1149913781,1,2,0.6931471805599453,62.5,0.47712125471966244,0,1,0
1149913819,1,1,0,NaN,0,0,0,0
1149913841,1,1,0,NaN,0,0,0,0
1149913865,1,7,1.9459101490553132,90,0.9030899869919435,0,1,0
1149913909,1,30,3.4011973816621555,70.15384615384616,1.146128035678238,0,0.43333333333333335,0
1149913937,1,11,2.3978952727983707,90,1.0791812460476249,0,1,0
1149913979,1,6,1.791759469228055,97.5,0.8450980400142568,0,1,0
1149914067,1,4,1.3862943611198906,87.5,0.3010299956639812,0,0.25,0
1150928265,1,11,2.3978952727983707,80.25,1,0.3010299956639812,0.8181818181818182,0.09090909090909091
1150928269,1,1,0,100,0.3010299956639812,0,1,0
1150928277,1,2,0.6931471805599453,82.5,0.47712125471966244,0,1,0
1150928279,1,10,2.302585092994046,89.375,0.9542425094393249,0,0.8,0
1150928291,1,1,0,NaN,0,0,0,0
1150928299,1,4,1.3862943611198906,88.75,0.47712125471966244,0,0.5,0
1150928301,1,8,2.0794415416798357,36.07142857142857,0.47712125471966244,0.7781512503836436,0.25,0.625
1150928303,1,22,3.091042453358316,94.6590909090909,1.3617278360175928,0,1,0
1150928305,1,17,2.833213344056216,82.9,0.9542425094393249,0.47712125471966244,0.47058823529411764,0.11764705882352941
1150928315,1,1,0,90,0.3010299956639812,0,1,0
1150928325,1,5,1.6094379124341003,80.625,0.6989700043360189,0,0.8,0
1150928339,1,1,0,NaN,0,0,0,0
1150928343,1,38,3.6375861597263857,68.13793103448276,1.2787536009528289,1.0791812460476249,0.47368421052631576,0.2894736842105263
1150928345,1,8,2.0794415416798357,86.64285714285714,0.9030899869919435,0,0.875,0
1150928363,1,12,2.4849066497880004,91.25,0.47712125471966244,0,0.16666666666666666,0
1150928371,1,3,1.0986122886681098,90,0.6020599913279624,0,1,0
1150928397,1,3,1.0986122886681098,95.83333333333333,0.6020599913279624,0,1,0
1150928401,1,4,1.3862943611198906,90,0.6989700043360189,0,1,0
