caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score_dv,Count_Reliable_NewsG_Score_dv,Count_Unreliable_NewsG_Score_dv,Prop_Reliable_NewsG_Score_dv,Prop_Unreliable_NewsG_Score_dv,partisanship_news_diet_dv,Prop_Reliable_NewsG_Score_dv_dur,Prop_Unreliable_NewsG_Score_dv_dur,Count_Unreliable_NewsG_Score_dv_dur,Count_Reliable_NewsG_Score_dv_dur,Average_domain_NewsG_Score_dv_dur
1149913837,1,177,4095,5.176149732573829,2495,7.822044008185619,3898,90.62130177514793,2.230448921378274,0,0.9548022598870056,0,-0.5591232070314965,0.9518925518925518,0,0,3898,90.40020523345305
1149913839,1,23,737,3.1354942159291497,2179,7.68662133494462,583,95.625,0.9542425094393249,0,0.34782608695652173,0,NaN,0.7910447761194029,0,0,583,95.78044596912521
1149913841,1,73,4219,4.290459441148391,5785,8.663023639627777,2938,86.22340425531915,1.6812412373755872,0,0.6438356164383562,0,0.388508123635526,0.6963735482341787,0,0,2938,85.05445881552076
1149913855,1,39,1438,3.6635616461296463,1594,7.374001859350161,384,58.36363636363637,0.9542425094393249,0.6020599913279624,0.20512820512820512,0.07692307692307693,2.0302688399222943,0.16759388038942977,0.09944367176634214,143,241,52.223958333333336
1149913861,1,118,6003,4.770684624465665,2458,7.80710329012598,5670,89.84782608695652,2.0644579892269186,0,0.9745762711864406,0,-0.0694465006852936,0.9445277361319341,0,0,5670,89.97310405643739
1149913865,1,136,767,4.912654885736052,2240,7.7142311448490855,759,90.18656716417911,2.130333768495006,0,0.9852941176470589,0,NaN,0.9895697522816167,0,0,759,90.08893280632411
1149913891,0,0,0,-Inf,331,5.802118375377063,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
1149913897,1,152,6530,5.0238805208462765,1339,7.199678345691172,768,92.16666666666667,1.2041199826559248,0,0.09868421052631579,0,0.011310425372058508,0.11761102603369065,0,0,768,93.19986979166667
1149913909,1,500,12866,6.214608098422191,17594,9.77531321381262,902,56.30252100840336,1.7781512503836436,1.7853298350107671,0.118,0.12,1.6609887986600658,0.03754080522306855,0.03256645422042593,419,483,57.91130820399113
1149913935,1,340,7583,5.8289456176102075,3131,8.049107721326406,8,77.5,0.47712125471966244,0,0.0058823529411764705,0,NaN,0.0010549914281946459,0,0,8,77.5
1149913937,1,136,704,4.912654885736052,3306,8.10349427838097,624,89.98031496062993,2.1072099696478683,0,0.9338235294117647,0,NaN,0.8863636363636364,0,0,624,89.9639423076923
1149913979,1,79,506,4.3694478524670215,14771,9.6004210780406,303,85.29787234042553,1.6334684555795864,0.7781512503836436,0.5316455696202531,0.06329113924050633,1.0129180979553134,0.5434782608695652,0.05533596837944664,28,275,87.08745874587459
1149913999,1,1,10,0,859,6.755768921984255,10,87.5,0.3010299956639812,0,1,0,NaN,1,0,0,10,87.5
1149914039,1,642,19465,6.464588303689961,3757,8.231376045573969,18737,94.75996810207336,2.797959643737196,0,0.9766355140186916,0,0.24155001553330963,0.9625995376316465,0,0,18737,94.8465069114586
1149914049,1,6,338,1.791759469228055,263,5.572154032177765,182,85,0.47712125471966244,0,0.3333333333333333,0,-0.273270297198875,0.5384615384615384,0,0,182,86.45604395604396
