caseid,Google_Search_Referals,Facebook_Time,Twitter_Time,NG_Site_visits
1151618421,NA,0.2833333333333333,NA,48
1151618423,NA,2.216666666666667,NA,111
1151618427,NA,NA,NA,30
1151618445,NA,35.5,NA,179
1151618465,NA,2.25,1.1666666666666667,270
1151618471,NA,2.95,NA,123
1151618475,NA,NA,NA,1
1151618477,NA,1.05,0.11666666666666667,59
1151618489,NA,NA,NA,430
1151618493,24,19.533333333333335,NA,680
1151618495,NA,4.766666666666667,3.0166666666666666,60
1151618505,NA,NA,NA,4
1151618513,NA,4.083333333333333,61.766666666666666,1160
1151618517,NA,1.4,NA,130
1151618531,NA,NA,NA,6
1151618541,NA,11.65,0.016666666666666666,192
1151618549,NA,NA,NA,10
1151618557,290,634.5,2.7,14337
1151618559,NA,NA,NA,172
1151618563,NA,4.35,NA,1903
1151618567,NA,0.36666666666666664,NA,12
1151618579,NA,NA,NA,363
1151618609,NA,2.183333333333333,NA,324
1151618623,NA,21.65,1,730
1151618633,NA,NA,NA,10841
1151618637,17,9.233333333333333,NA,1616
1151618641,NA,0.65,NA,190
1151618643,NA,23.333333333333332,0.016666666666666666,1230
1151618649,NA,NA,NA,63
1151618657,NA,0.5166666666666667,NA,170
1151618689,NA,3.0833333333333335,NA,15
